product_id,product_line,product_category,product_group,product_name,supplier_country,supplier_name,supplier_id,announcement_date,launch_date,lead_time,supplier_continent
210100100001,Children,Children Outdoors,"Outdoor things, Kids",Boy's and Girl's Ski Pants with Braces,NO,Scandinavian Clothing A/S,50,2013-01-31T04:55:49.000+0000,2013-02-18T03:24:32.000+0000,18,Europe
210100100002,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket,ES,Luna sastreria S.A.,4742,2014-03-04T17:31:51.000+0000,2014-05-07T17:17:39.000+0000,64,Europe
210100100003,Children,Children Outdoors,"Outdoor things, Kids",Children's Jacket Sidney,NO,Scandinavian Clothing A/S,50,2014-03-06T23:56:38.000+0000,2014-06-27T04:39:32.000+0000,112,Europe
210100100004,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Set,NO,Scandinavian Clothing A/S,50,2014-04-11T22:42:13.000+0000,2014-09-21T03:05:41.000+0000,162,Europe
210100100005,Children,Children Outdoors,"Outdoor things, Kids",Children's Rain Suit,NO,Scandinavian Clothing A/S,50,2013-12-15T08:34:04.000+0000,2014-06-02T23:51:08.000+0000,170,Europe
210100100006,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit for Children,NO,Scandinavian Clothing A/S,50,2013-03-02T13:25:41.000+0000,2013-07-18T05:42:56.000+0000,138,Europe
210100100007,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit,US,AllSeasons Outdoor Clothing,772,2013-02-10T16:04:06.000+0000,2013-04-12T05:47:33.000+0000,61,America
210100100008,Children,Children Outdoors,"Outdoor things, Kids",Rain Suit Tonado,NO,Scandinavian Clothing A/S,50,2013-07-03T21:31:20.000+0000,2013-12-20T04:27:11.000+0000,169,Europe
210100100009,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket Oliver,NO,Scandinavian Clothing A/S,50,2013-10-23T09:26:38.000+0000,2013-11-09T14:50:03.000+0000,17,Europe
210100100010,Children,Children Outdoors,"Outdoor things, Kids",Ski Jacket w/Removable Fleece,NO,Scandinavian Clothing A/S,50,2014-01-24T17:05:25.000+0000,2014-07-09T09:13:36.000+0000,166,Europe
